guidislink,href,id,link,links,media_thumbnail,published,published_parsed,summary,summary_detail,title,title_detail,scraping_date
False,,https://www.sciencedaily.com/releases/2019/03/190318111952.htm,https://www.sciencedaily.com/releases/2019/03/190318111952.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190318111952.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190318111952-large.jpg', 'height': '186', 'width': '300'}]","Mon, 18 Mar 2019 11:19:52 EDT","[2019, 3, 18, 15, 19, 52, 0, 77, 0]","A new study finds that taking statins for heart disease cuts risk of second serious event in half, yet only 6 percent of patients are following as directed.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/heart_disease.xml', 'value': 'A new study finds that taking statins for heart disease cuts risk of second serious event in half, yet only 6 percent of patients are following as directed.'}","Taking statins for heart disease cuts risk in half, yet only 6 percent of patients taking as directed","{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/heart_disease.xml', 'value': 'Taking statins for heart disease cuts risk in half, yet only 6 percent of patients taking as directed'}",2019-03-27 15:47:31.683934
False,,https://www.sciencedaily.com/releases/2018/11/181106104249.htm,https://www.sciencedaily.com/releases/2018/11/181106104249.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2018/11/181106104249.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2018/11/181106104249-large.jpg', 'height': '274', 'width': '300'}]","Tue, 06 Nov 2018 10:42:49 EST","[2018, 11, 6, 15, 42, 49, 1, 310, 0]","Artificial intelligence (AI) technology improves the ability of brain imaging to predict Alzheimer's disease, according to a new study.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/medical_devices.xml', 'value': ""Artificial intelligence (AI) technology improves the ability of brain imaging to predict Alzheimer's disease, according to a new study.""}",Artificial intelligence predicts Alzheimer's years before diagnosis,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/medical_devices.xml', 'value': ""Artificial intelligence predicts Alzheimer's years before diagnosis""}",2019-03-27 15:47:31.683934
False,,https://www.sciencedaily.com/releases/2019/03/190318132623.htm,https://www.sciencedaily.com/releases/2019/03/190318132623.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190318132623.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190318132623-large.jpg', 'height': '400', 'width': '300'}]","Mon, 18 Mar 2019 13:26:23 EDT","[2019, 3, 18, 17, 26, 23, 0, 77, 0]","Meningitis, a group of serious diseases which infect the brain's lining, leaves its mark and can affect the body's ability to fight such infections in the future. According to a new study, infections can have long-lasting effects on a population of meningeal immune cells, replacing them with cells from outside the meninges that then change and become less likely to recognize and ward off future attacks.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/immune_system.xml', 'value': ""Meningitis, a group of serious diseases which infect the brain's lining, leaves its mark and can affect the body's ability to fight such infections in the future. According to a new study, infections can have long-lasting effects on a population of meningeal immune cells, replacing them with cells from outside the meninges that then change and become less likely to recognize and ward off future attacks.""}",Meningitis changes immune cell makeup in the mouse brain lining,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/immune_system.xml', 'value': 'Meningitis changes immune cell makeup in the mouse brain lining'}",2019-03-27 15:47:31.683934
False,,https://www.sciencedaily.com/releases/2019/03/190318151724.htm,https://www.sciencedaily.com/releases/2019/03/190318151724.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190318151724.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190318151724-large.jpg', 'height': '200', 'width': '300'}]","Mon, 18 Mar 2019 15:17:24 EDT","[2019, 3, 18, 19, 17, 24, 0, 77, 0]","Low levels of amyloid-beta and tau proteins, biomarkers of Alzheimer's disease, in eye fluid were significantly associated with low cognitive scores, according to a new study. These findings indicate that proteins in the eye may be a potential source for an accessible, cost-effective test to predict future Alzheimer's disease.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/chronic_illness.xml', 'value': ""Low levels of amyloid-beta and tau proteins, biomarkers of Alzheimer's disease, in eye fluid were significantly associated with low cognitive scores, according to a new study. These findings indicate that proteins in the eye may be a potential source for an accessible, cost-effective test to predict future Alzheimer's disease.""}",Study finds test of protein levels in the eye a potential predictor of (future) Alzheimer's disease,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/chronic_illness.xml', 'value': ""Study finds test of protein levels in the eye a potential predictor of (future) Alzheimer's disease""}",2019-03-27 15:47:31.683934
False,,https://www.sciencedaily.com/releases/2019/03/190320102114.htm,https://www.sciencedaily.com/releases/2019/03/190320102114.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190320102114.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190320102114-large.jpg', 'height': '270', 'width': '300'}]","Wed, 20 Mar 2019 10:21:14 EDT","[2019, 3, 20, 14, 21, 14, 2, 79, 0]","As an organism grows and responds to its environment, genes in its cells are constantly turning on and off, with different patterns of gene expression in different cells. But can changes in gene expression be passed on from parents to their children and subsequent generations? Researchers have now demonstrated that epigenetic information carried by parental sperm chromosomes can cause changes in gene expression and development in the offspring.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/genes.xml', 'value': 'As an organism grows and responds to its environment, genes in its cells are constantly turning on and off, with different patterns of gene expression in different cells. But can changes in gene expression be passed on from parents to their children and subsequent generations? Researchers have now demonstrated that epigenetic information carried by parental sperm chromosomes can cause changes in gene expression and development in the offspring.'}",Effects on offspring of epigenetic inheritance via sperm,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/genes.xml', 'value': 'Effects on offspring of epigenetic inheritance via sperm'}",2019-03-27 15:47:31.683934
False,,https://www.sciencedaily.com/releases/2019/03/190308133347.htm,https://www.sciencedaily.com/releases/2019/03/190308133347.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190308133347.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190308133347-large.jpg', 'height': '144', 'width': '300'}]","Fri, 08 Mar 2019 13:33:47 EST","[2019, 3, 8, 18, 33, 47, 4, 67, 0]","Researchers have developed a new molecular visualisation method, RNA-guided endonuclease -- in situ labelling (RGEN-ISL) for the CRISPR/Cas9-mediated labelling of genomic sequences in nuclei and chromosomes.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/human_biology.xml', 'value': 'Researchers have developed a new molecular visualisation method, RNA-guided endonuclease -- in situ labelling (RGEN-ISL) for the CRISPR/Cas9-mediated labelling of genomic sequences in nuclei and chromosomes.'}",Illuminating the genome,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/human_biology.xml', 'value': 'Illuminating the genome'}",2019-03-27 15:47:31.683934
False,,https://www.sciencedaily.com/releases/2019/03/190306081659.htm,https://www.sciencedaily.com/releases/2019/03/190306081659.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190306081659.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190306081659-large.jpg', 'height': '183', 'width': '300'}]","Wed, 06 Mar 2019 08:16:59 EST","[2019, 3, 6, 13, 16, 59, 2, 65, 0]","Given the importance and wide distribution of Influenza A viruses, it is surprising how little is known about infections of wild mammals. A new study sheds light on which species are commonly infected and why.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/viruses.xml', 'value': 'Given the importance and wide distribution of Influenza A viruses, it is surprising how little is known about infections of wild mammals. A new study sheds light on which species are commonly infected and why.'}",Diet may be a key factor for Influenza A virus exposure in wild African mammals,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/viruses.xml', 'value': 'Diet may be a key factor for Influenza A virus exposure in wild African mammals'}",2019-03-27 15:47:31.683934
False,,https://www.sciencedaily.com/releases/2019/03/190320141045.htm,https://www.sciencedaily.com/releases/2019/03/190320141045.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190320141045.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190320141045-large.jpg', 'height': '218', 'width': '300'}]","Wed, 20 Mar 2019 14:10:45 EDT","[2019, 3, 20, 18, 10, 45, 2, 79, 0]","An interdisciplinary team of scientists has identified a new mobile DNA element in the Wolbachia parasite, which may contribute to improved control strategies for mosquito vectors of diseases such as Dengue and West Nile virus.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/genes.xml', 'value': 'An interdisciplinary team of scientists has identified a new mobile DNA element in the Wolbachia parasite, which may contribute to improved control strategies for mosquito vectors of diseases such as Dengue and West Nile virus.'}",New mobile element found in mosquito parasite has potential for disease control,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/genes.xml', 'value': 'New mobile element found in mosquito parasite has potential for disease control'}",2019-03-27 15:47:31.683934
False,,https://www.sciencedaily.com/releases/2019/03/190311141259.htm,https://www.sciencedaily.com/releases/2019/03/190311141259.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190311141259.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190311141259-large.jpg', 'height': '97', 'width': '300'}]","Mon, 11 Mar 2019 14:12:59 EDT","[2019, 3, 11, 18, 12, 59, 0, 70, 0]",A research team has computationally analyzed the expression of marker genes that are associated with a 'fingerprint' of cancer cells in thousands of tumors and revealed its therapeutic potential in the fight against cancer. The study shows the types of tumors in which these genes are most active and identifies drugs with the potential to selectively eliminate cells that carry that label.,"{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/human_biology.xml', 'value': ""A research team has computationally analyzed the expression of marker genes that are associated with a 'fingerprint' of cancer cells in thousands of tumors and revealed its therapeutic potential in the fight against cancer. The study shows the types of tumors in which these genes are most active and identifies drugs with the potential to selectively eliminate cells that carry that label.""}",When a cell's 'fingerprint' can be a weapon against cancer,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/human_biology.xml', 'value': ""When a cell's 'fingerprint' can be a weapon against cancer""}",2019-03-27 15:47:31.683934
False,,https://www.sciencedaily.com/releases/2018/02/180227090730.htm,https://www.sciencedaily.com/releases/2018/02/180227090730.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2018/02/180227090730.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2018/02/180227090730-large.jpg', 'height': '243', 'width': '300'}]","Tue, 27 Feb 2018 09:07:30 EST","[2018, 2, 27, 14, 7, 30, 1, 58, 0]","States with robust tobacco control policies and regulations, such as smoke free air laws and taxes on cigarettes, not only have fewer cigarette users but also fewer e-cigarette users, according to research from NYU School of Medicine and the NYU College of Global Public Health.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/public_health_education.xml', 'value': 'States with robust tobacco control policies and regulations, such as smoke free air laws and taxes on cigarettes, not only have fewer cigarette users but also fewer e-cigarette users, according to research from NYU School of Medicine and the NYU College of Global Public Health.'}",States with strong tobacco control measures have fewer e-cigarette users,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/health_medicine/public_health_education.xml', 'value': 'States with strong tobacco control measures have fewer e-cigarette users'}",2019-03-27 15:47:31.683934
