guidislink,href,id,link,links,media_thumbnail,published,published_parsed,summary,summary_detail,title,title_detail,scraping_date
False,,https://www.sciencedaily.com/releases/2019/03/190320141024.htm,https://www.sciencedaily.com/releases/2019/03/190320141024.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190320141024.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190320141024-large.jpg', 'height': '200', 'width': '300'}]","Wed, 20 Mar 2019 14:10:24 EDT","[2019, 3, 20, 18, 10, 24, 2, 79, 0]","Researchers have demonstrated for the first time a way to make a robot composed of many loosely coupled components, or 'particles.' Unlike swarm or modular robots, each component is simple, and has no individual address or identity. In their system, which the researchers call a 'particle robot,' each particle can perform only uniform volumetric oscillations (slightly expanding and contracting), but cannot move independently.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': ""Researchers have demonstrated for the first time a way to make a robot composed of many loosely coupled components, or 'particles.' Unlike swarm or modular robots, each component is simple, and has no individual address or identity. In their system, which the researchers call a 'particle robot,' each particle can perform only uniform volumetric oscillations (slightly expanding and contracting), but cannot move independently.""}",Robotic 'gray goo',"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': ""Robotic 'gray goo'""}",2019-03-27 15:47:31.747448
False,,https://www.sciencedaily.com/releases/2019/03/190325110233.htm,https://www.sciencedaily.com/releases/2019/03/190325110233.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190325110233.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190325110233-large.jpg', 'height': '400', 'width': '300'}]","Mon, 25 Mar 2019 11:02:33 EDT","[2019, 3, 25, 15, 2, 33, 0, 84, 0]","Scientists have built artificial cells as models of primitive cells. The research team has constructed artificial cells using minimal components that are able to supply energy to drive gene expression inside a microcompartment, thus these artificial cells can produce energy that helps synthesize parts of the cells themselves. This work marks an important milestone in constructing artificial autotrophic cells, and may shed light on how primordial cells used sunlight as an energy source early in life's history.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': ""Scientists have built artificial cells as models of primitive cells. The research team has constructed artificial cells using minimal components that are able to supply energy to drive gene expression inside a microcompartment, thus these artificial cells can produce energy that helps synthesize parts of the cells themselves. This work marks an important milestone in constructing artificial autotrophic cells, and may shed light on how primordial cells used sunlight as an energy source early in life's history.""}",Scientist constructs artificial photosynthetic cells,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'Scientist constructs artificial photosynthetic cells'}",2019-03-27 15:47:31.747448
False,,https://www.sciencedaily.com/releases/2019/03/190319083920.htm,https://www.sciencedaily.com/releases/2019/03/190319083920.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190319083920.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190319083920-large.jpg', 'height': '200', 'width': '300'}]","Tue, 19 Mar 2019 08:39:20 EDT","[2019, 3, 19, 12, 39, 20, 1, 78, 0]","With an estimated daily fuel demand of more than 5 million barrels per day, the global aviation sector is incredibly energy-intensive and almost entirely reliant on petroleum-based fuels. However, a new analysis shows that sustainable plant-based bio-jet fuels could provide a competitive alternative to conventional fuels if current development and scale-up initiatives continue to push ahead successfully.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'With an estimated daily fuel demand of more than 5 million barrels per day, the global aviation sector is incredibly energy-intensive and almost entirely reliant on petroleum-based fuels. However, a new analysis shows that sustainable plant-based bio-jet fuels could provide a competitive alternative to conventional fuels if current development and scale-up initiatives continue to push ahead successfully.'}",Bright skies for plant-based jet fuels,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'Bright skies for plant-based jet fuels'}",2019-03-27 15:47:31.747448
False,,https://www.sciencedaily.com/releases/2019/03/190319083917.htm,https://www.sciencedaily.com/releases/2019/03/190319083917.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190319083917.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190319083917-large.jpg', 'height': '225', 'width': '300'}]","Tue, 19 Mar 2019 08:39:17 EDT","[2019, 3, 19, 12, 39, 17, 1, 78, 0]","Researchers have developed what could be the bone implant material of the future: an airy, foamlike substance from plant cellulose that can be injected into the body and provide scaffolding for the growth of new bone.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'Researchers have developed what could be the bone implant material of the future: an airy, foamlike substance from plant cellulose that can be injected into the body and provide scaffolding for the growth of new bone.'}",From foam to bone: Plant cellulose can pave the way for healthy bone implants,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'From foam to bone: Plant cellulose can pave the way for healthy bone implants'}",2019-03-27 15:47:31.747448
False,,https://www.sciencedaily.com/releases/2019/03/190319100757.htm,https://www.sciencedaily.com/releases/2019/03/190319100757.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190319100757.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190319100757-large.jpg', 'height': '533', 'width': '300'}]","Tue, 19 Mar 2019 10:07:57 EDT","[2019, 3, 19, 14, 7, 57, 1, 78, 0]",The ecological bio-production of xylitol and cellulose nanofibers from material produced by the paper industry has been achieved. This discovery could contribute to the development of a greener and more sustainable society.,"{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'The ecological bio-production of xylitol and cellulose nanofibers from material produced by the paper industry has been achieved. This discovery could contribute to the development of a greener and more sustainable society.'}",Making xylitol and cellulose nanofibers from paper paste,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'Making xylitol and cellulose nanofibers from paper paste'}",2019-03-27 15:47:31.747448
False,,https://www.sciencedaily.com/releases/2019/03/190315115929.htm,https://www.sciencedaily.com/releases/2019/03/190315115929.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190315115929.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190315115929-large.jpg', 'height': '200', 'width': '300'}]","Fri, 15 Mar 2019 11:59:29 EDT","[2019, 3, 15, 15, 59, 29, 4, 74, 0]",A new technique uses quantum sensors to enable precise measurements of magnetic fields in different directions.,"{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'A new technique uses quantum sensors to enable precise measurements of magnetic fields in different directions.'}",Quantum sensing method measures minuscule magnetic fields,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'Quantum sensing method measures minuscule magnetic fields'}",2019-03-27 15:47:31.747448
False,,https://www.sciencedaily.com/releases/2019/03/190320140548.htm,https://www.sciencedaily.com/releases/2019/03/190320140548.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190320140548.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190320140548-large.jpg', 'height': '394', 'width': '300'}]","Wed, 20 Mar 2019 14:05:48 EDT","[2019, 3, 20, 18, 5, 48, 2, 79, 0]",Researchers have designed self-assembling DNA molecules with unprecedented reprogrammability.,"{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'Researchers have designed self-assembling DNA molecules with unprecedented reprogrammability.'}",Computer scientists create reprogrammable molecular computing system,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'Computer scientists create reprogrammable molecular computing system'}",2019-03-27 15:47:31.747448
False,,https://www.sciencedaily.com/releases/2019/03/190313114809.htm,https://www.sciencedaily.com/releases/2019/03/190313114809.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190313114809.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190313114809-large.jpg', 'height': '116', 'width': '300'}]","Wed, 13 Mar 2019 11:48:09 EDT","[2019, 3, 13, 15, 48, 9, 2, 72, 0]","Cleaning pollutants from water with a defective filter sounds like a non-starter, but a recent study by chemical engineers found that the right-sized defects helped a molecular sieve soak up more perfluorooctanesulfonic acid (PFOS) in less time.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'Cleaning pollutants from water with a defective filter sounds like a non-starter, but a recent study by chemical engineers found that the right-sized defects helped a molecular sieve soak up more perfluorooctanesulfonic acid (PFOS) in less time.'}",Defects help nanomaterial soak up more pollutant in less time,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'Defects help nanomaterial soak up more pollutant in less time'}",2019-03-27 15:47:31.747448
False,,https://www.sciencedaily.com/releases/2019/03/190319083925.htm,https://www.sciencedaily.com/releases/2019/03/190319083925.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190319083925.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190319083925-large.jpg', 'height': '136', 'width': '300'}]","Tue, 19 Mar 2019 08:39:25 EDT","[2019, 3, 19, 12, 39, 25, 1, 78, 0]",Researchers have proposed a way to create a completely new source of radiation. Ultra-intense light pulses consist of the motion of a single wave and can be described as a tsunami of light. The strong wave can be used to study interactions between matter and light in a unique way.,"{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'Researchers have proposed a way to create a completely new source of radiation. Ultra-intense light pulses consist of the motion of a single wave and can be described as a tsunami of light. The strong wave can be used to study interactions between matter and light in a unique way.'}",Heading towards a tsunami of light,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'Heading towards a tsunami of light'}",2019-03-27 15:47:31.747448
False,,https://www.sciencedaily.com/releases/2019/03/190321130428.htm,https://www.sciencedaily.com/releases/2019/03/190321130428.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190321130428.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190321130428-large.jpg', 'height': '1142', 'width': '300'}]","Thu, 21 Mar 2019 13:04:28 EDT","[2019, 3, 21, 17, 4, 28, 3, 80, 0]","Nanowire researchers have made ultraviolet light-emitting diodes (LEDs) that, thanks to a special type of shell, produce five times higher light intensity than do comparable LEDs based on a simpler shell design.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'Nanowire researchers have made ultraviolet light-emitting diodes (LEDs) that, thanks to a special type of shell, produce five times higher light intensity than do comparable LEDs based on a simpler shell design.'}",Researchers boost intensity of nanowire LEDs,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/matter_energy/biochemistry.xml', 'value': 'Researchers boost intensity of nanowire LEDs'}",2019-03-27 15:47:31.747448
