guidislink,href,id,link,links,media_thumbnail,published,published_parsed,summary,summary_detail,title,title_detail,scraping_date
False,,https://www.sciencedaily.com/releases/2019/01/190131162458.htm,https://www.sciencedaily.com/releases/2019/01/190131162458.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/01/190131162458.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/01/190131162458-large.jpg', 'height': '169', 'width': '300'}]","Thu, 31 Jan 2019 16:24:58 EST","[2019, 1, 31, 21, 24, 58, 3, 31, 0]","Known for its role in relieving depression, the neurochemical serotonin may also help the brain execute instantaneous, appropriate behaviors in emergency situations, according to a new study.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/behavior.xml', 'value': 'Known for its role in relieving depression, the neurochemical serotonin may also help the brain execute instantaneous, appropriate behaviors in emergency situations, according to a new study.'}",Fight or flight: Serotonin neurons prompt brain to make the right call,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/behavior.xml', 'value': 'Fight or flight: Serotonin neurons prompt brain to make the right call'}",2019-03-27 15:47:31.509119
False,,https://www.sciencedaily.com/releases/2019/03/190319142309.htm,https://www.sciencedaily.com/releases/2019/03/190319142309.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190319142309.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190319142309-large.jpg', 'height': '225', 'width': '300'}]","Tue, 19 Mar 2019 14:23:09 EDT","[2019, 3, 19, 18, 23, 9, 1, 78, 0]","The study of evolution is revealing new complexities, showing how the traits most beneficial to the fitness of individual plants and animals are not always the ones we see in nature. Instead, new research by behavioral scientists shows that in certain cases evolution works in the opposite direction, reversing individual improvements to benefit related members of the same group.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/evolution.xml', 'value': 'The study of evolution is revealing new complexities, showing how the traits most beneficial to the fitness of individual plants and animals are not always the ones we see in nature. Instead, new research by behavioral scientists shows that in certain cases evolution works in the opposite direction, reversing individual improvements to benefit related members of the same group.'}",What makes evolution go backwards?,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/evolution.xml', 'value': 'What makes evolution go backwards?'}",2019-03-27 15:47:31.509119
False,,https://www.sciencedaily.com/releases/2019/03/190311125341.htm,https://www.sciencedaily.com/releases/2019/03/190311125341.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190311125341.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190311125341-large.jpg', 'height': '400', 'width': '300'}]","Mon, 11 Mar 2019 12:53:41 EDT","[2019, 3, 11, 16, 53, 41, 0, 70, 0]","Using a combination of advanced satellite imaging and over 20 years of coral monitoring across the Reef, a team of researchers has found that chronic exposure to poor water quality is limiting the recovery rates of corals across wide swaths of the Great Barrier Reef.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/marine_biology.xml', 'value': 'Using a combination of advanced satellite imaging and over 20 years of coral monitoring across the Reef, a team of researchers has found that chronic exposure to poor water quality is limiting the recovery rates of corals across wide swaths of the Great Barrier Reef.'}",No silver bullet for helping the Great Barrier Reef,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/marine_biology.xml', 'value': 'No silver bullet for helping the Great Barrier Reef'}",2019-03-27 15:47:31.509119
False,,https://www.sciencedaily.com/releases/2019/02/190212190836.htm,https://www.sciencedaily.com/releases/2019/02/190212190836.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/02/190212190836.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/02/190212190836-large.jpg', 'height': '300', 'width': '300'}]","Tue, 12 Feb 2019 19:08:36 EST","[2019, 2, 13, 0, 8, 36, 2, 44, 0]","What makes us human, and where does this mysterious property of 'humanness' come from? Humans are genetically similar to chimpanzees and bonobos, yet there exist obvious behavioral and cognitive differences. Now, researchers have developed a strategy to more easily study the early development of human neurons compared with the neurons of nonhuman primates.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/behavior.xml', 'value': ""What makes us human, and where does this mysterious property of 'humanness' come from? Humans are genetically similar to chimpanzees and bonobos, yet there exist obvious behavioral and cognitive differences. Now, researchers have developed a strategy to more easily study the early development of human neurons compared with the neurons of nonhuman primates.""}",Uncovering the evolution of the brain,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/behavior.xml', 'value': 'Uncovering the evolution of the brain'}",2019-03-27 15:47:31.509119
False,,https://www.sciencedaily.com/releases/2019/03/190313143307.htm,https://www.sciencedaily.com/releases/2019/03/190313143307.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190313143307.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190313143307-large.jpg', 'height': '382', 'width': '300'}]","Wed, 13 Mar 2019 14:33:07 EDT","[2019, 3, 13, 18, 33, 7, 2, 72, 0]","Marine mammals are particularly sensitive to noise pollution because they rely on sound for so many essential functions, including communication, navigation, finding food, and avoiding predators. An expert panel has now published a comprehensive assessment of the available science on how noise exposure affects hearing in marine mammals, providing scientific recommendations for noise exposure criteria that could have far-reaching regulatory implications.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/marine_biology.xml', 'value': 'Marine mammals are particularly sensitive to noise pollution because they rely on sound for so many essential functions, including communication, navigation, finding food, and avoiding predators. An expert panel has now published a comprehensive assessment of the available science on how noise exposure affects hearing in marine mammals, providing scientific recommendations for noise exposure criteria that could have far-reaching regulatory implications.'}",Review of noise impacts on marine mammals yields new policy recommendations,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/marine_biology.xml', 'value': 'Review of noise impacts on marine mammals yields new policy recommendations'}",2019-03-27 15:47:31.509119
False,,https://www.sciencedaily.com/releases/2019/03/190306125333.htm,https://www.sciencedaily.com/releases/2019/03/190306125333.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190306125333.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190306125333-large.jpg', 'height': '225', 'width': '300'}]","Wed, 06 Mar 2019 12:53:33 EST","[2019, 3, 6, 17, 53, 33, 2, 65, 0]","A new study explores how climate, evolution, plants, and soils are linked. The research is the first to show how climate-driven evolution in tree populations alters the way trees directly interact with their immediate soil environment.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/evolution.xml', 'value': 'A new study explores how climate, evolution, plants, and soils are linked. The research is the first to show how climate-driven evolution in tree populations alters the way trees directly interact with their immediate soil environment.'}",Climate-driven evolution in trees alters their ecosystems,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/evolution.xml', 'value': 'Climate-driven evolution in trees alters their ecosystems'}",2019-03-27 15:47:31.509119
False,,https://www.sciencedaily.com/releases/2019/03/190320102114.htm,https://www.sciencedaily.com/releases/2019/03/190320102114.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190320102114.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190320102114-large.jpg', 'height': '270', 'width': '300'}]","Wed, 20 Mar 2019 10:21:14 EDT","[2019, 3, 20, 14, 21, 14, 2, 79, 0]","As an organism grows and responds to its environment, genes in its cells are constantly turning on and off, with different patterns of gene expression in different cells. But can changes in gene expression be passed on from parents to their children and subsequent generations? Researchers have now demonstrated that epigenetic information carried by parental sperm chromosomes can cause changes in gene expression and development in the offspring.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/life_sciences.xml', 'value': 'As an organism grows and responds to its environment, genes in its cells are constantly turning on and off, with different patterns of gene expression in different cells. But can changes in gene expression be passed on from parents to their children and subsequent generations? Researchers have now demonstrated that epigenetic information carried by parental sperm chromosomes can cause changes in gene expression and development in the offspring.'}",Effects on offspring of epigenetic inheritance via sperm,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/life_sciences.xml', 'value': 'Effects on offspring of epigenetic inheritance via sperm'}",2019-03-27 15:47:31.509119
False,,https://www.sciencedaily.com/releases/2019/03/190308133347.htm,https://www.sciencedaily.com/releases/2019/03/190308133347.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190308133347.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190308133347-large.jpg', 'height': '144', 'width': '300'}]","Fri, 08 Mar 2019 13:33:47 EST","[2019, 3, 8, 18, 33, 47, 4, 67, 0]","Researchers have developed a new molecular visualisation method, RNA-guided endonuclease -- in situ labelling (RGEN-ISL) for the CRISPR/Cas9-mediated labelling of genomic sequences in nuclei and chromosomes.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/molecular_biology.xml', 'value': 'Researchers have developed a new molecular visualisation method, RNA-guided endonuclease -- in situ labelling (RGEN-ISL) for the CRISPR/Cas9-mediated labelling of genomic sequences in nuclei and chromosomes.'}",Illuminating the genome,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/molecular_biology.xml', 'value': 'Illuminating the genome'}",2019-03-27 15:47:31.509119
False,,https://www.sciencedaily.com/releases/2019/02/190218153238.htm,https://www.sciencedaily.com/releases/2019/02/190218153238.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/02/190218153238.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/02/190218153238-large.jpg', 'height': '169', 'width': '300'}]","Mon, 18 Feb 2019 15:32:38 EST","[2019, 2, 18, 20, 32, 38, 0, 49, 0]","In a major scientific step to understand the biology of this iconic apex predator and sharks in general, the entire genome of the white shark has now been decoded in detail.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/evolution.xml', 'value': 'In a major scientific step to understand the biology of this iconic apex predator and sharks in general, the entire genome of the white shark has now been decoded in detail.'}",Great white shark genome decoded,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/evolution.xml', 'value': 'Great white shark genome decoded'}",2019-03-27 15:47:31.509119
False,,https://www.sciencedaily.com/releases/2019/03/190320141045.htm,https://www.sciencedaily.com/releases/2019/03/190320141045.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190320141045.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190320141045-large.jpg', 'height': '218', 'width': '300'}]","Wed, 20 Mar 2019 14:10:45 EDT","[2019, 3, 20, 18, 10, 45, 2, 79, 0]","An interdisciplinary team of scientists has identified a new mobile DNA element in the Wolbachia parasite, which may contribute to improved control strategies for mosquito vectors of diseases such as Dengue and West Nile virus.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/biotechnology.xml', 'value': 'An interdisciplinary team of scientists has identified a new mobile DNA element in the Wolbachia parasite, which may contribute to improved control strategies for mosquito vectors of diseases such as Dengue and West Nile virus.'}",New mobile element found in mosquito parasite has potential for disease control,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/plants_animals/biotechnology.xml', 'value': 'New mobile element found in mosquito parasite has potential for disease control'}",2019-03-27 15:47:31.509119
