guidislink,href,id,link,links,media_thumbnail,published,published_parsed,summary,summary_detail,title,title_detail,scraping_date
False,,https://www.sciencedaily.com/releases/2019/03/190326160505.htm,https://www.sciencedaily.com/releases/2019/03/190326160505.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190326160505.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190326160505-large.jpg', 'height': '169', 'width': '300'}]","Tue, 26 Mar 2019 16:05:05 EDT","[2019, 3, 26, 20, 5, 5, 1, 85, 0]","NASA's new Transiting Exoplanet Survey Satellite (TESS) is designed to ferret out habitable exoplanets, but with hundreds of thousands of sunlike and smaller stars in its camera views, which of those stars could host planets like our own? A team of astronomers has identified the most promising targets for this search.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/technology.xml', 'value': ""NASA's new Transiting Exoplanet Survey Satellite (TESS) is designed to ferret out habitable exoplanets, but with hundreds of thousands of sunlike and smaller stars in its camera views, which of those stars could host planets like our own? A team of astronomers has identified the most promising targets for this search.""}","In hunt for life, astronomers identify most promising stars","{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/technology.xml', 'value': 'In hunt for life, astronomers identify most promising stars'}",2019-03-27 15:47:31.400131
False,,https://www.sciencedaily.com/releases/2019/03/190325173305.htm,https://www.sciencedaily.com/releases/2019/03/190325173305.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190325173305.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190325173305-large.jpg', 'height': '225', 'width': '300'}]","Mon, 25 Mar 2019 17:33:05 EDT","[2019, 3, 25, 21, 33, 5, 0, 84, 0]","The shade of a single tree can provide welcome relief from the hot summer sun. But when that single tree is part of a small forest, it creates a profound cooling effect. Trees play a big role in keeping our towns and cities cool.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/environment.xml', 'value': 'The shade of a single tree can provide welcome relief from the hot summer sun. But when that single tree is part of a small forest, it creates a profound cooling effect. Trees play a big role in keeping our towns and cities cool.'}",Trees are crucial to the future of our cities,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/environment.xml', 'value': 'Trees are crucial to the future of our cities'}",2019-03-27 15:47:31.400131
False,,https://www.sciencedaily.com/releases/2019/03/190325110315.htm,https://www.sciencedaily.com/releases/2019/03/190325110315.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190325110315.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190325110315-large.jpg', 'height': '200', 'width': '300'}]","Mon, 25 Mar 2019 11:03:15 EDT","[2019, 3, 25, 15, 3, 15, 0, 84, 0]","Researchers have created the first-ever nanocomposite biomaterial heart-valve developed to reduce or eliminate complications related to heart transplants. By using a newly developed technique, the researchers were able to build a more durable valve that enables the heart to adapt faster and more seamlessly.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/technology.xml', 'value': 'Researchers have created the first-ever nanocomposite biomaterial heart-valve developed to reduce or eliminate complications related to heart transplants. By using a newly developed technique, the researchers were able to build a more durable valve that enables the heart to adapt faster and more seamlessly.'}",New heart valve aimed at high-risk patients,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/technology.xml', 'value': 'New heart valve aimed at high-risk patients'}",2019-03-27 15:47:31.400131
False,,https://www.sciencedaily.com/releases/2019/03/190326122147.htm,https://www.sciencedaily.com/releases/2019/03/190326122147.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190326122147.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190326122147-large.jpg', 'height': '205', 'width': '300'}]","Tue, 26 Mar 2019 12:21:47 EDT","[2019, 3, 26, 16, 21, 47, 1, 85, 0]","Many insect pollinator species are disappearing from areas of Great Britain, a new study has found. Research showed one third of wild pollinator species experienced declines in terms of areas in which they were found, while one tenth increased.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/environment.xml', 'value': 'Many insect pollinator species are disappearing from areas of Great Britain, a new study has found. Research showed one third of wild pollinator species experienced declines in terms of areas in which they were found, while one tenth increased.'}",Widespread losses of pollinating insects in Britain,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/environment.xml', 'value': 'Widespread losses of pollinating insects in Britain'}",2019-03-27 15:47:31.400131
False,,https://www.sciencedaily.com/releases/2019/03/190327080712.htm,https://www.sciencedaily.com/releases/2019/03/190327080712.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190327080712.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190327080712-large.jpg', 'height': '232', 'width': '300'}]","Wed, 27 Mar 2019 08:07:12 EDT","[2019, 3, 27, 12, 7, 12, 2, 86, 0]","Research explores soil, fungi, phosphorus dynamics.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/environment.xml', 'value': 'Research explores soil, fungi, phosphorus dynamics.'}",Are no-fun fungi keeping fertilizer from plants?,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/environment.xml', 'value': 'Are no-fun fungi keeping fertilizer from plants?'}",2019-03-27 15:47:31.400131
False,,https://www.sciencedaily.com/releases/2019/03/190326105530.htm,https://www.sciencedaily.com/releases/2019/03/190326105530.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190326105530.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190326105530-large.jpg', 'height': '200', 'width': '300'}]","Tue, 26 Mar 2019 10:55:30 EDT","[2019, 3, 26, 14, 55, 30, 1, 85, 0]","An enzyme-blocking molecule can extend the lifespan of Caenorhabditis elegans roundworms by as much as 45 percent, largely by modulating a cannabinoid biological pathway, according to a new study.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/health.xml', 'value': 'An enzyme-blocking molecule can extend the lifespan of Caenorhabditis elegans roundworms by as much as 45 percent, largely by modulating a cannabinoid biological pathway, according to a new study.'}",Discovery of life-extension pathway in worms demonstrates new way to study aging,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/health.xml', 'value': 'Discovery of life-extension pathway in worms demonstrates new way to study aging'}",2019-03-27 15:47:31.400131
False,,https://www.sciencedaily.com/releases/2019/03/190325122008.htm,https://www.sciencedaily.com/releases/2019/03/190325122008.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190325122008.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190325122008-large.jpg', 'height': '187', 'width': '300'}]","Mon, 25 Mar 2019 12:20:08 EDT","[2019, 3, 25, 16, 20, 8, 0, 84, 0]","A new method allows the quantum state of atomic 'qubits'--the basic unit of information in quantum computers -- to be measured with twenty times less error than was previously possible, without losing any atoms.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/technology.xml', 'value': ""A new method allows the quantum state of atomic 'qubits'--the basic unit of information in quantum computers -- to be measured with twenty times less error than was previously possible, without losing any atoms.""}",Extremely accurate measurements of atom states for quantum computing,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/technology.xml', 'value': 'Extremely accurate measurements of atom states for quantum computing'}",2019-03-27 15:47:31.400131
False,,https://www.sciencedaily.com/releases/2019/03/190327112605.htm,https://www.sciencedaily.com/releases/2019/03/190327112605.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190327112605.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190327112605-large.jpg', 'height': '256', 'width': '300'}]","Wed, 27 Mar 2019 11:26:05 EDT","[2019, 3, 27, 15, 26, 5, 2, 86, 0]","The potential for wearable electronics goes far beyond smart watches, but our current options for battery packs and circuit boards don't make for the most comfortable E-socks. One solution, being developed by scientists in China, is to simply print flexible fibers on to transitional textiles or clothes. For example, they printed patterns that can harvest and store electricity onto fabrics.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/technology.xml', 'value': ""The potential for wearable electronics goes far beyond smart watches, but our current options for battery packs and circuit boards don't make for the most comfortable E-socks. One solution, being developed by scientists in China, is to simply print flexible fibers on to transitional textiles or clothes. For example, they printed patterns that can harvest and store electricity onto fabrics.""}",3D printer threads electronic fibers onto fabrics,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/technology.xml', 'value': '3D printer threads electronic fibers onto fabrics'}",2019-03-27 15:47:31.400131
False,,https://www.sciencedaily.com/releases/2019/03/190326105626.htm,https://www.sciencedaily.com/releases/2019/03/190326105626.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190326105626.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190326105626-large.jpg', 'height': '225', 'width': '300'}]","Tue, 26 Mar 2019 10:56:26 EDT","[2019, 3, 26, 14, 56, 26, 1, 85, 0]","A Costa Rican lizard species may have evolved scuba-diving qualities allowing it to stay underwater for 16 minutes, according to researchers.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/environment.xml', 'value': 'A Costa Rican lizard species may have evolved scuba-diving qualities allowing it to stay underwater for 16 minutes, according to researchers.'}",'Scuba-diving' lizard can stay underwater for 16 minutes,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/environment.xml', 'value': ""'Scuba-diving' lizard can stay underwater for 16 minutes""}",2019-03-27 15:47:31.400131
False,,https://www.sciencedaily.com/releases/2019/03/190326132715.htm,https://www.sciencedaily.com/releases/2019/03/190326132715.htm,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.sciencedaily.com/releases/2019/03/190326132715.htm'}]","[{'url': 'https://www.sciencedaily.com/images/2019/03/190326132715-large.jpg', 'height': '197', 'width': '300'}]","Tue, 26 Mar 2019 13:27:15 EDT","[2019, 3, 26, 17, 27, 15, 1, 85, 0]","Researchers have long thought that snail and clam shells found at Caribbean archaeological sites were evidence of 'starvation food' eaten in times when other resources were lacking. Now, a study suggests these shells may be evidence of children helping with the grocery shopping -- AD 400 style.","{'type': 'text/html', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/health.xml', 'value': ""Researchers have long thought that snail and clam shells found at Caribbean archaeological sites were evidence of 'starvation food' eaten in times when other resources were lacking. Now, a study suggests these shells may be evidence of children helping with the grocery shopping -- AD 400 style.""}",Ancient Caribbean children helped with grocery shopping in AD 400,"{'type': 'text/plain', 'language': None, 'base': 'https://www.sciencedaily.com/rss/top/health.xml', 'value': 'Ancient Caribbean children helped with grocery shopping in AD 400'}",2019-03-27 15:47:31.400131
